id,title,short_title,repository,program,nci_program,cancer_types,primary_sites,subjects,subject_scope,modalities,n_cases,n_samples,access_tier,has_followup,median_followup_months,has_treatment_response,n_verified_reuse,n_citations_to_primary_publication,reuse_gap_index,is_underexplored,is_showcase,review_status,landing_page_url
cbio-tmb-mskcc-2018,"TMB and Immunotherapy (MSK, Nat Genet 2019)",tmb_mskcc_2018,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Mixed Cancer Types,other,,pan_cancer,structural_variant; targeted_dna,1661,1661,open,True,11.0,False,,3230,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=tmb_mskcc_2018
gdc-target-all-p2,Acute Lymphoblastic Leukemia - Phase II,TARGET-ALL-P2,GDC,TARGET,TARGET,Lymphoid Leukemias,Hematopoietic and reticuloendothelial systems,LYMPH,single,clinical; copy_number; mirna; rna_seq; structural_variant; wgs; wxs,1587,,mixed,True,92.7,False,42,761,-1.198,False,False,machine_only,https://portal.gdc.cancer.gov/projects/TARGET-ALL-P2
cbio-crc-eo-2020,"Colorectal Cancer (MSK, JNCI 2021)",crc_eo_2020,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Bowel,tissue,BOWEL,single,copy_number; structural_variant; targeted_dna,1516,1516,open,,,False,,173,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=crc_eo_2020
gdc-mp2prt-all,Molecular Profiling to Predict Response to Treatment for Acute Lymphoblastic Leukemia,MP2PRT-ALL,GDC,MP2PRT,MP2PRT,Acute Lymphoblastic Leukemia; Lymphoid Leukemias,Hematopoietic and reticuloendothelial systems,LYMPH,single,clinical; copy_number; rna_seq; structural_variant; wgs; wxs,1510,,mixed,True,100.2,True,2,17,0.054,False,True,project_curated,https://portal.gdc.cancer.gov/projects/MP2PRT-ALL
cbio-prad-cdk12-mskcc-2020,"Prostate Adenocarcinoma (MSK, Eur Urol 2020)",prad_cdk12_mskcc_2020,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Prostate Adenocarcinoma,prostate,PROSTATE,single,copy_number; structural_variant; targeted_dna; treatment,1465,1465,open,,,False,,104,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=prad_cdk12_mskcc_2020
cbio-prad-pik3r1-msk-2021,"Prostate Adenocarcinoma (MSK, Clin Cancer Res. 2022)",prad_pik3r1_msk_2021,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Prostate Adenocarcinoma,prostate,PROSTATE,single,copy_number; structural_variant; targeted_dna,1417,1417,open,True,26.3,False,,43,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=prad_pik3r1_msk_2021
idc-covid-19-ny-sbu,COVID-19-NY-SBU,covid_19_ny_sbu,IDC,NCI Imaging Data Commons / The Cancer Imaging Archive,IDC,COVID-19 (non-cancer),Lung,LUNG,single,clinical; radiology,1384,,open,,,,,,,False,False,machine_only,https://portal.imaging.datacommons.cancer.gov/explore/?collection_id=covid_19_ny_sbu
cbio-hcc-msk-2024,"Hepatocellular Carcinoma (MSK, Clin Cancer Res 2024)",hcc_msk_2024,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Hepatocellular Carcinoma,liver,LIVER,single,copy_number; structural_variant; targeted_dna,1370,1370,open,True,18.4,False,,11,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=hcc_msk_2024
cbio-biliary-tract-msk-2026,"Hepatobiliary Cancer (MSK, 2026)",biliary_tract_msk_2026,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Biliary Tract,tissue,BILIARY_TRACT,single,copy_number; structural_variant; targeted_dna,1254,1291,open,True,10.6,False,,0,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=biliary_tract_msk_2026
cbio-paired-bladder-2022,"Bladder Cancer (MSK, Cell Reports 2022)",paired_bladder_2022,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Bladder/Urinary Tract,tissue,BLADDER,single,copy_number; structural_variant; targeted_dna,1244,1659,open,True,31.1,False,,67,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=paired_bladder_2022
